OPEN_TIME;OPEN;CLOSE;HIGH;LOW;VOLUME;CLOSE_TIME
2018-01-01T00:00:00;13715.65;13410.03;13715.65;13155.38;1676.2;2018-01-01T03:59:59.999000
2018-01-01T04:00:00;13434.98;13570.35;13818.55;13322.15;1302.21;2018-01-01T07:59:59.999000
2018-01-01T08:00:00;13569.98;13220.56;13735.24;13001.13;1319.76;2018-01-01T11:59:59.999000
2018-01-01T12:00:00;13220.56;13247.0;13330.0;12750.0;1831.93;2018-01-01T15:59:59.999000
2018-01-01T16:00:00;13247.0;13240.37;13290.65;12940.0;1092.34;2018-01-01T19:59:59.999000
2018-01-01T20:00:00;13222.03;13380.0;13599.7;13222.03;1387.47;2018-01-01T23:59:59.999000
2018-01-02T00:00:00;13382.16;13353.78;13850.0;13231.96;2365.53;2018-01-02T03:59:59.999000
2018-01-02T04:00:00;13353.78;13343.0;13480.84;12890.02;2980.32;2018-01-02T07:59:59.999000
2018-01-02T08:00:00;13343.01;13490.0;13617.28;13302.59;2596.18;2018-01-02T11:59:59.999000
2018-01-02T12:00:00;13490.0;13690.03;13894.86;13450.46;3365.88;2018-01-02T15:59:59.999000
2018-01-02T16:00:00;13690.02;14732.75;15473.49;13503.0;5090.27;2018-01-02T19:59:59.999000
2018-01-02T20:00:00;14710.02;14675.11;15160.31;14544.0;3679.91;2018-01-02T23:59:59.999000
2018-01-03T00:00:00;14690.0;14818.49;15299.99;14660.0;3303.83;2018-01-03T03:59:59.999000
2018-01-03T04:00:00;14805.81;15170.0;15307.56;14795.05;3211.7;2018-01-03T07:59:59.999000
2018-01-03T08:00:00;15170.0;14730.05;15172.99;14150.0;4202.8;2018-01-03T11:59:59.999000
2018-01-03T12:00:00;14764.73;15033.77;15045.51;14400.04;2082.73;2018-01-03T15:59:59.999000
2018-01-03T16:00:00;15045.0;14700.01;15130.0;14671.0;1659.7;2018-01-03T19:59:59.999000
2018-01-03T20:00:00;14700.01;14919.51;14990.0;14683.0;1444.9;2018-01-03T23:59:59.999000
2018-01-04T00:00:00;14919.51;15119.97;15280.0;14649.99;3062.54;2018-01-04T03:00:14.838000
2018-01-04T04:00:00;15119.97;14748.0;15119.97;14685.0;2839.9;2018-01-04T07:59:59.999000
2018-01-04T08:00:00;14734.07;14539.97;14800.0;13918.04;4339.55;2018-01-04T11:59:59.999000
2018-01-04T12:00:00;14539.99;14353.01;14653.4;14181.88;3960.83;2018-01-04T15:59:59.999000
2018-01-04T16:00:00;14367.99;14895.19;14988.0;14238.01;3636.62;2018-01-04T19:59:59.999000
2018-01-04T20:00:00;14905.0;15059.54;15100.08;14601.0;3490.21;2018-01-04T23:59:59.999000
2018-01-05T00:00:00;15059.56;14965.37;15200.0;14642.0;3624.97;2018-01-05T03:59:59.999000
2018-01-05T04:00:00;14970.0;14920.14;15083.63;14600.0;3434.5;2018-01-05T07:59:59.999000
2018-01-05T08:00:00;14916.95;16090.69;16350.0;14880.0;4235.32;2018-01-05T11:59:59.999000
2018-01-05T12:00:00;16090.7;16087.72;16267.04;15750.0;3780.8;2018-01-05T15:59:59.999000
2018-01-05T16:00:00;16094.99;16593.01;17118.13;16087.73;4211.11;2018-01-05T19:59:59.999000
2018-01-05T20:00:00;16594.14;16960.39;17176.24;16353.0;3964.78;2018-01-05T23:59:59.999000
2018-01-06T00:00:00;16960.39;16521.59;17099.99;16288.0;4247.71;2018-01-06T03:59:59.999000
2018-01-06T04:00:00;16521.57;16518.0;16750.0;16300.0;2163.98;2018-01-06T07:59:59.999000
2018-01-06T08:00:00;16500.18;16529.89;16750.01;16340.0;2570.0;2018-01-06T11:59:59.999000
2018-01-06T12:00:00;16505.16;16556.22;16639.0;16011.21;3636.95;2018-01-06T15:59:59.999000
2018-01-06T16:00:00;16550.04;16770.01;16982.0;16501.75;3205.69;2018-01-06T19:59:59.999000
2018-01-06T20:00:00;16770.01;17069.79;17143.13;16612.18;2747.12;2018-01-06T23:59:59.999000
2018-01-07T00:00:00;17069.79;16740.68;17099.96;16605.01;3154.3;2018-01-07T03:59:59.999000
2018-01-07T04:00:00;16727.93;16746.99;16749.98;16400.0;2773.56;2018-01-07T07:59:59.999000
2018-01-07T08:00:00;16747.0;16607.0;16886.75;16560.02;1475.71;2018-01-07T11:59:59.999000
2018-01-07T12:00:00;16611.0;16439.65;16649.05;16300.0;1213.05;2018-01-07T15:59:59.999000
2018-01-07T16:00:00;16439.64;16100.9;16474.87;15610.0;2778.46;2018-01-07T19:59:59.999000
2018-01-07T20:00:00;16100.9;16150.03;16500.0;15872.07;1098.04;2018-01-07T23:59:59.999000
2018-01-08T00:00:00;16218.85;15670.37;16322.3;15514.99;3174.14;2018-01-08T03:59:59.999000
2018-01-08T04:00:00;15632.48;15865.0;15921.68;15476.0;3057.43;2018-01-08T07:59:59.999000
2018-01-08T08:00:00;15864.99;15400.0;15869.97;14551.0;4903.91;2018-01-08T11:59:59.999000
2018-01-08T12:00:00;15414.0;14299.98;15499.0;12812.0;8735.65;2018-01-08T15:59:59.999000
2018-01-08T16:00:00;14297.9;15196.55;15247.33;14238.32;4144.27;2018-01-08T19:59:59.999000
2018-01-08T20:00:00;15196.56;14902.54;15270.99;14392.32;2585.2;2018-01-08T23:59:59.999000
2018-01-09T00:00:00;14902.54;15210.0;15500.0;14701.0;2267.73;2018-01-09T03:59:59.999000
2018-01-09T04:00:00;15186.53;15062.28;15397.0;14601.0;2094.7;2018-01-09T07:59:59.999000
2018-01-09T08:00:00;15062.28;14726.0;15300.0;14170.33;2553.32;2018-01-09T11:59:59.999000
2018-01-09T12:00:00;14726.0;14654.96;14829.98;14011.05;3506.54;2018-01-09T15:59:59.999000
2018-01-09T16:00:00;14655.01;14717.82;14998.62;14585.01;1558.96;2018-01-09T19:59:59.999000
2018-01-09T20:00:00;14717.82;14400.0;14861.56;14125.0;2333.76;2018-01-09T23:59:59.999000
2018-01-10T00:00:00;14401.0;13964.05;14480.0;13750.0;2823.26;2018-01-10T03:59:59.999000
2018-01-10T04:00:00;13980.0;13979.0;14349.99;13855.0;2736.52;2018-01-10T07:59:59.999000
2018-01-10T08:00:00;13978.95;13919.08;14128.3;13131.31;4921.02;2018-01-10T11:59:59.999000
2018-01-10T12:00:00;13919.09;14399.95;14490.0;13500.0;3221.05;2018-01-10T15:59:59.999000
2018-01-10T16:00:00;14399.95;14349.98;14735.43;14172.95;2238.17;2018-01-10T19:59:59.999000
2018-01-10T20:00:00;14349.98;14907.09;14955.66;14240.0;1470.98;2018-01-10T23:59:59.999000
2018-01-11T00:00:00;14940.0;12920.0;14968.68;12613.0;4980.41;2018-01-11T03:59:59.999000
